2025 Boland Central Team,,,,,,,,,
,,,,,,,,,
Girls 14 100m Results (3:20:00 PM),,,,,,,,,
"Combined Results (Top 5 Athletes, Sorted by Performance)",,,,,,,,,
Rank,Performance,Name,Team,Heat/Pit,Wind,Score,,13.6,
1,12.61,"OEWIES, SHASHA-LEE",SH,Heat 2,-1,890,,Q,
2,13,"NEL, AMBER",SH,Heat 2,-1,849,,Q,
3,13.06,"KLAASSEN, LATOYA",PG,Heat 2,-1,843,,Q,
4,13.1,"BESTERFIELD, LISA",GM,Heat 1,-1.1,839,,Q,
5,13.12,"DEUTSCHMANN, MONET",PG,Heat 1,-1.1,837,,Q,
,,,,,,,,,
Boys 14 100m Results (3:30:00 PM),,,,,,,,,
"Combined Results (Top 5 Athletes, Sorted by Performance)",,,,,,,,,
Rank,Performance,Name,Team,Heat/Pit,Wind,Score,,12.0,
1,11.29,"POOLE, LIAM",SH,Heat 2,1.6,824,,Q,
2,11.31,"JACOBS, JENO",HJ,Heat 4,0,820,,Q,
3,11.47,"SMALL, JAYDEN",BL,Heat 2,1.6,786,,Q,
4,11.61,"MATTHEE, BURGER",GM,Heat 1,1.9,756,,Q,
5,11.73,"NGOBENI, VUYO",PR,Heat 5,0,734,,Q,
,,,,,,,,,
Girls 15 100m Results (3:40:00 PM),,,,,,,,,
Combined Results (All Records),,,,,,,,,
Rank,Performance,Name,Team,Heat/Pit,Wind,Score,,13.5,
1,12.64,"LAWRENCE, MEACKE",LR,,,Curro,,Q,
2,12.66,"VAN HEERDEN, LEANNÈ",ST,Heat 1,0.1,873,,Q,
3,12.83,"ESTERHUYSEN, CORNELIA",GM,Heat 1,0.1,855,,Q,
4,13.05,"MHONE, MELISSA",SH,Heat 2,-2.5,833,,Q,
5,13.14,"SIMONSE, TARYN",SH,Heat 3,-0.6,824,,Q,
6,13.4,"WATTS, NINA",RH,Heat 3,-0.6,800,,Q,
,,,,,,,,,
Boys 15 100m Results (3:50:00 PM),,,,,,,,,
Combined Results (All Records),,,,,,,,,
Rank,Performance,Name,Team,Heat/Pit,Wind,Score,,11.8,
1,11.1,"DAVIDS, RIO",NO,Heat 3,1.5,840,,Q,
2,11.15,"SMALL, GABRIEL",GM,Heat 2,-0.7,828,,Q,
3,11.37,"FINCK, ZEKE",GM,,,Prestige,,Q,
4,11.47,"GOUSSARD, EWALD",SH,Heat 2,-0.7,760,,Q,
5,11.64,"ARENDSE, LEEHANDO",BR,Heat 3,1.5,726,,Q,
5,11.64,"MLABATEKI, LIKHONA",HJ,Heat 4,0.3,726,,Q,
,,,,,,,,,
Girls 17 100m Results (4:00:00 PM),,,,,,,,,
"Combined Results (Top 5 Athletes, Sorted by Performance)",,,,,,,,,
Rank,Performance,Name,Team,Heat/Pit,Wind,Score,,13.1,
1,12.42,"KONDE, FAITH",PG,Heat 4,-0.7,880,,Q,
2,12.54,"KAYSER, CHARNE",SH,Heat 4,-0.7,866,,Q,
